location,location_state,location_city,num_of_employees
Headquarters,NV,"Port Leah",1
Headquarters,VT,"Port Brad",1
Headquarters,NH,Sheppardmouth,1
Remote,WV,Michaelbury,1
Remote,WA,Lawsonfort,1
Remote,NJ,Larsenhaven,1
Headquarters,PA,"Port Saraburgh",1
Remote,WI,"East Thomasfort",1
Headquarters,FM,"Port Donald",1
Headquarters,MO,"Lake Katelyn",1
Headquarters,NC,Smithhaven,1
Headquarters,MN,"South Jermaine",1
Headquarters,NV,Melissaport,1
Headquarters,NE,"Port Chelsea",1
Headquarters,PA,"South Laura",1
Remote,MA,"East Robertmouth",1
Remote,AR,"East Sydneyfurt",1
Remote,WY,"South Ericland",1
Headquarters,FL,"Port Kathychester",1
Headquarters,UT,"South Debraside",1
Remote,ID,Pittmanside,1
Remote,UT,Ingrammouth,1
Remote,UT,"West Anthonyfort",1
Remote,VI,Lowerymouth,1
Remote,CT,Alexandrashire,1
Headquarters,DC,Stephanieberg,1
Remote,KS,"West Melissabury",1
Headquarters,KY,Stevensonshire,1
Headquarters,TN,"Port Robinview",1
Headquarters,SC,Pamelaport,1
Remote,WI,Samanthaport,1
Headquarters,WI,"East Cheryl",1
Headquarters,PR,Ibarrafort,1
Remote,CO,"West Kyleport",1
Headquarters,AL,Michaelland,1
Remote,NM,Erinborough,1
Headquarters,TN,Janetfurt,1
Headquarters,GU,"East Robertville",1
Headquarters,WY,"North Tom",1
Headquarters,IN,"East Antonio",1
Remote,TN,"Port Timothybury",1
Headquarters,SD,Wardfurt,1
Headquarters,WI,Caitlinmouth,1
Headquarters,ND,"East Mariah",1
Headquarters,DE,"Port Lauren",1
Headquarters,KS,"West Josephton",1
Headquarters,MS,"North Patriciachester",1
Headquarters,NC,"Port Adammouth",1
Headquarters,HI,"North Melissa",1
Headquarters,RI,Williamsonton,1
Headquarters,GA,"North Samuelborough",1
Headquarters,NM,Perezburgh,1
Remote,WV,Bakerfurt,1
Headquarters,MH,Markview,1
Remote,NM,"Port Tracyborough",1
Headquarters,OR,Perryshire,1
Headquarters,GU,"New Josephchester",1
Headquarters,HI,"North Joseph",1
Remote,KS,"South William",1
Remote,AS,"Lake Garrett",1
Remote,NC,Brettberg,1
Remote,IL,Kevinside,1
Headquarters,FL,Melissamouth,1
Headquarters,MO,"New Ashley",1
Remote,NM,"North Susan",1
Remote,AS,"East Joshua",1
Remote,NY,"West Dawn",1
Headquarters,MP,"North Staceybury",1
Remote,MS,Nicolefurt,1
Headquarters,AL,Justinview,1
Headquarters,FM,Shanefort,1
Headquarters,SD,Kristinaborough,1
Remote,MA,Christopherbury,1
Remote,ID,Greenville,1
Headquarters,IN,Meganfort,1
Remote,WI,"Lake Chad",1
Headquarters,AS,Kimstad,1
Headquarters,FL,"West Saraville",1
Headquarters,CA,Anitafurt,1
Headquarters,PA,"East Markchester",1
Headquarters,ND,"New Erinland",1
Remote,KS,"East Melanie",1
